Chromophore,Solvent,lambda_abs,lambda_em,QY,log_eps,Lifetime (ns),Molecular weight (g mol-1),Reference,split,strict_core
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CC#N,674.0,772.0,,,,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,CS(C)=O,697.0,800.0,,,,455.159219108,10.1016/j.dyepig.2016.09.009,train,True
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC=[N+]21,Cc1ccccc1,503.0,521.0,0.053,4.732394,,268.09833519200004,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(ccc2-c2ccccc2)C(c2ccc(I)cc2)=C2C=CC(c3ccccc3)=[N+]21,ClC(Cl)Cl,555.0,588.0,0.2,4.719331,,546.057583416,10.1039/c4cs00030g,train,True
COc1ccc(C2=[N+]3C(=C(c4ccc(I)cc4)c4ccc(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2)cc1,ClC(Cl)Cl,582.0,626.0,0.42,4.733197,,606.078712784,10.1039/c4cs00030g,train,True
COc1ccccc1C1=[N+]2C(=C(c3ccc(I)cc3)c3ccc(-c4ccccc4OC)n3[B-]2(F)F)C=C1,ClC(Cl)Cl,545.0,598.0,0.08,4.4843,,606.078712784,10.1039/c4cs00030g,val,True
Cc1cc(C)c(C2=C3C=CC(c4cccc5ccccc45)=[N+]3[B-](F)(F)n3c2ccc3-c2cccc3ccccc23)c(C)c1,ClC(Cl)Cl,538.0,601.0,0.95,4.821514,,562.2391857680001,10.1039/c4cs00030g,test,True
Cc1cc(C)c(C2=C3C=CC(c4ccc5ccccc5c4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccc3ccccc3c2)c(C)c1,ClC(Cl)Cl,573.0,618.0,0.95,5.021603,,562.2391857680001,10.1039/c4cs00030g,test,True
Cc1cc(C)c(C2=C3C=CC(c4ccc5c(ccc6ccccc65)c4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccc3c(ccc4ccccc43)c2)c(C)c1,ClC(Cl)Cl,579.0,624.0,0.77,4.838849,,662.2704858960001,10.1039/c4cs00030g,train,True
CCCC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(CCC)c(-c4ccc5ccc6cccc7ccc4c5c67)n3[B-](F)(F)[N+]2=C1c1ccc2ccc3cccc4ccc1c2c34,ClC(Cl)Cl,562.0,626.0,0.64,4.70757,,794.3643862800001,10.1039/c4cs00030g,train,True
Cc1cc(C)c(C2=C3C=CC(c4csc5ccccc45)=[N+]3[B-](F)(F)n3c2ccc3-c2csc3ccccc23)c(C)c1,ClC(Cl)Cl,581.0,625.0,0.84,4.804821,,574.1520276400001,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(ccc2-c2nc3ccccc3s2)C(c2ccccc2)=C2C=CC(c3nc4ccccc4s3)=[N+]21,ClC(Cl)Cl,623.0,643.0,0.86,4.681241,,534.0955753840001,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(ccc2-c2cccs2)C(c2ccc(Br)cc2)=C2C=CC(c3cccs3)=[N+]21,ClC(Cl)Cl,622.0,643.0,0.82,4.843233,,509.984289388,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(ccc2-c2ccccc2)C(C(F)(F)F)=C2C=CC(c3ccccc3)=[N+]21,CCCCCC,592.0,622.0,0.74,4.681241,,412.117019948,10.1039/c4cs00030g,test,True
F[B-]1(F)n2c(ccc2-c2cccs2)C(C(F)(F)F)=C2C=CC(c3cccs3)=[N+]21,CCCCCC,665.0,674.0,1.0,4.929419,,424.02986182,10.1039/c4cs00030g,test,True
CC1=C(c2ccccc2)C2=Cc3c(-c4ccccc4)c(C)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,538.0,549.0,0.93,,,400.1922355760001,10.1039/c4cs00030g,train,True
CC1=C(c2cccs2)C2=Cc3c(-c4cccs4)c(C)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,548.0,571.0,0.52,,,412.1050774480001,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccc3)c2C=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21,C1CCOC1,571.0,601.0,0.92,4.869818,,496.192235576,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccc3)c2C(c2ccccc2)=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21,C1CCOC1,561.0,597.0,0.31,4.779596,,572.223535704,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(cc(-c3ccccc3)c2-c2ccccc2)C(c2ccccc2)=C2C=C(c3ccccc3)C(c3ccccc3)=[N+]21,ClCCl,584.0,628.0,0.4,4.770115,,572.223535704,10.1039/c4cs00030g,train,True
F[B-]1(F)n2c(c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)C=C2C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=[N+]21,C1CCOC1,576.0,608.0,0.96,4.789581,,648.254835832,10.1039/c4cs00030g,val,True
F[B-]1(F)n2c(c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)C(c2ccccc2)=C2C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=[N+]21,C1CCOC1,573.0,613.0,0.2,4.869818,,724.28613596,10.1039/c4cs00030g,val,True
COc1ccc(C2=C(c3ccc(OC)cc3)C(c3ccc(OC)cc3)=[N+]3C2=C(c2ccc(OC)cc2)c2c(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)n2[B-]3(F)F)cc1,C1CCOC1,597.0,640.0,0.26,4.609594,,934.360088748,10.1039/c4cs00030g,train,True
CC1=C(C#Cc2ccccc2)C2=Cc3c(C#Cc4ccccc4)c(C)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,570.0,579.0,1.0,,,448.1922355760001,10.1039/c4cs00030g,train,True
CC1=C(C#Cc2ccccc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C#Cc3ccccc3)c(C)n1[B-]2(F)F,C1CCOC1,573.0,594.0,0.6,4.857332,,524.223535704,10.1039/c4cs00030g,train,True
CC1=C(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c(C)n1[B-]2(F)F,C1CCOC1,593.0,659.0,0.31,4.946943,,858.3705342799999,10.1039/c4cs00030g,val,True
CC1=C(C#Cc2ccc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C#Cc3ccc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)cc3)c(C)n1[B-]2(F)F,ClCCl,576.0,602.0,0.65,5.227887,,1020.570797848,10.1039/c4cs00030g,train,True
CC1=C(C#Cc2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C#Cc3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)c(C)n1[B-]2(F)F,ClCCl,575.0,600.0,0.15,4.829947,,1040.39648966,10.1039/c4cs00030g,test,True
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(C#Cc4ccccc4)ccc32)cc1,ClCCl,614.0,628.0,1.0,,,482.176585512,10.1039/c4cs00030g,val,True
COC(=O)CCC1=CC(C#Cc2cccs2)=[N+]2C1=Cc1c(CCC(=O)OC)cc(C#Cc3cccs3)n1[B-]2(F)F,ClCCl,649.0,681.0,0.17,4.462398,,576.1160360559999,10.1039/c4cs00030g,train,True
COC(=O)CCC1=CC(C#Cc2ccsc2)=[N+]2C1=Cc1c(CCC(=O)OC)cc(C#Cc3ccsc3)n1[B-]2(F)F,ClCCl,633.0,653.0,0.39,4.672098,,576.1160360559999,10.1039/c4cs00030g,train,True
COC(=O)CCC1=CC(C#Cc2ccc(OC)cc2)=[N+]2C1=Cc1c(CCC(=O)OC)cc(C#Cc3ccc(OC)cc3)n1[B-]2(F)F,ClCCl,649.0,682.0,0.29,4.770852,,624.2243235519999,10.1039/c4cs00030g,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,500.0,510.0,0.56,,,324.16093544800003,10.1039/c4cs00030g,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccccc3)n1[B-]2(F)F,CC#N,560.0,569.0,0.7,4.851258,,412.1922355760001,10.1039/c4cs00030g,train,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc(O)cc3)n1[B-]2(F)F,O,565.0,590.0,0.37,,,428.18715019600006,10.1039/c4cs00030g,test,True
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc(N(C)C)cc3)n1[B-]2(F)F,CCOCC,594.0,638.0,0.83,4.991226,,455.2344347360001,10.1039/c4cs00030g,val,True
CC1=CC(C)=[N+]2C1=C(c1ccc(N(C)C)cc1)c1c(C)cc(C=Cc3ccc(N(C)C)cc3)n1[B-]2(F)F,CCOCC,591.0,632.0,0.78,4.959995,,498.2766338960001,10.1039/c4cs00030g,train,True
CC1=CC(C)=[N+]2C1=C(c1ccc(C)cc1)c1c(C)cc(C=Cc3ccc4ccc5cccc6ccc3c4c56)n1[B-]2(F)F,CC1CCCO1,598.0,618.0,0.64,4.971276,,550.2391857680001,10.1039/c4cs00030g,val,True
COC(=O)c1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C=Cc4c[nH]cn4)cc(C)c32)cc1,ClC(Cl)Cl,572.0,589.0,0.93,4.579784,,460.1882128160001,10.1039/c4cs00030g,val,True
CC1=CC(C)=[N+]2C1=C(c1ccc(Br)cc1)c1c(C)cc(C=Cc3ccc[nH]3)n1[B-]2(F)F,ClCCl,590.0,613.0,0.25,,,479.0979966120001,10.1039/c4cs00030g,train,True
CC1=CC(C)=[N+]2C1=C(c1ccc(O)cc1)c1c(C)cc(C=CC=C3N(C)c4ccccc4C3(C)C)n1[B-]2(F)F,O,650.0,708.0,,,,523.260649484,10.1039/c4cs00030g,train,True
CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C=C3C=Cc4ccccc43)C=CC1=C2C,C1CCCCC1,591.0,596.0,0.02,4.832509,,388.192235576,10.1039/c4cs00030g,val,True
CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C=C3c4ccccc4-c4ccccc43)C=CC1=C2C,C1CCCCC1,589.0,612.0,0.73,4.748188,,438.20788564,10.1039/c4cs00030g,train,True
CC1=CC(C=Cc2ccccc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccccc3)n1[B-]2(F)F,Cc1ccccc1,629.0,641.0,0.59,5.079181,,500.2235357040001,10.1039/c4cs00030g,train,True
CC1=CC(C=Cc2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc(N(C)C)cc3)n1[B-]2(F)F,ClC(Cl)Cl,700.0,753.0,,,,586.307934024,10.1039/c4cs00030g,train,True
CC1=C(Br)C(C=Cc2ccncc2)=[N+]2C1=C(c1ccccc1)c1c(C)c(Br)c(C=Cc3ccncc3)n1[B-]2(F)F,ClC(Cl)Cl,620.0,640.0,,,,658.0350577759999,10.1039/c4cs00030g,val,True
CC1=C(C=Cc2ccccc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C=Cc3ccccc3)c(C)n1[B-]2(F)F,ClC(Cl)Cl,575.0,633.0,0.01,4.491362,,528.254835832,10.1039/c4cs00030g,test,True
CC1=C(C=Cc2ccccc2)C2=Cc3c(C=Cc4ccccc4)c(C)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,572.0,589.0,0.55,,,452.2235357040001,10.1039/c4cs00030g,train,True
CC1=CC(C=Cc2ccc(C)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc(C)cc3)n1[B-]2(F)F,CC1CCCO1,631.0,645.0,0.75,5.005181,,528.254835832,10.1039/c4cs00030g,train,True
CC1=CC(C=Cc2c3ccccc3c(C)c3ccccc23)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3c4ccccc4c(C)c4ccccc34)n1[B-]2(F)F,CC1CCCO1,632.0,714.0,0.038,5.091315,,728.3174360879999,10.1039/c4cs00030g,train,True
CC1=CC(C=Cc2ccc3ccc4cccc5ccc2c3c45)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc4ccc5cccc6ccc3c4c56)n1[B-]2(F)F,CC1CCCO1,691.0,720.0,0.8,5.085291,,748.2861359599999,10.1039/c4cs00030g,train,True
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4ccccc4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2)o1,ClC(Cl)Cl,671.0,681.0,0.29,4.905796,,596.1930234239999,10.1039/c4cs00030g,train,True
CCOC(=O)C=CC1=[N+]2C(=C(c3c(C)cc(C)cc3C)c3ccc(C=CC(=O)OCC)n3[B-]2(F)F)C=C1,ClCCl,593.0,602.0,0.98,5.09691,,506.218844248,10.1039/c4cs00030g,test,True
COC(=O)C=CC=CC1=[N+]2C(=C(c3c(C)cc(C)cc3C)c3ccc(C=CC=CC(=O)OC)n3[B-]2(F)F)C=C1,ClCCl,641.0,651.0,0.53,5.155336,,530.218844248,10.1039/c4cs00030g,train,True
CCCCCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC(=O)OCCCCCC)cn3[B-](F)(F)[N+]2=C1,ClCCl,579.0,606.0,0.68,4.783189,,618.34404476,10.1039/c4cs00030g,train,True
COC(=O)C=CC=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC=CC(=O)OC)cn3[B-](F)(F)[N+]2=C1,ClCCl,633.0,662.0,0.054,4.756636,,530.218844248,10.1039/c4cs00030g,val,True
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C)=CC(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)cc(C)c32)c1,ClC(Cl)Cl,645.0,660.0,0.37,5.065953,,872.5474955919999,10.1039/c4cs00030g,test,True
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C)=CC(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)cc(C=Cc4ccc(OC)cc4)c32)c1,ClC(Cl)Cl,665.0,682.0,0.35,4.986324,,990.589360404,10.1039/c4cs00030g,train,True
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C=Cc4ccc(OC)cc4)=CC(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)cc(C=Cc4ccc(OC)cc4)c32)c1,ClC(Cl)Cl,689.0,710.0,0.34,5.106871,,1108.631225216,10.1039/c4cs00030g,test,True
COc1ccc(C2=C3C(C=Cc4cc(OC)c(OC)c(OC)c4)=C(C=O)C(C)=[N+]3[B-](F)(F)n3c(C)c(C=O)c(C=Cc4cc(OC)c(OC)c(OC)c4)c32)cc1,ClCCl,576.0,673.0,0.2,4.567026,,766.2873177320001,10.1039/c4cs00030g,val,True
COc1ccc(C2=C3C(C=Cc4cc(OC)c(OC)c(OC)c4)=C(C=O)C(C)=[N+]3[B-](F)(F)n3c(C=Cc4cc(OC)c(OC)c(OC)c4)c(C=O)c(C=Cc4cc(OC)c(OC)c(OC)c4)c32)cc1,ClCCl,634.0,686.0,0.1,4.782473,,944.3503119120002,10.1039/c4cs00030g,train,True
COc1ccc(C2=C3C(C=Cc4cc(OC)c(OC)c(OC)c4)=C(C=O)C(C=Cc4cc(OC)c(OC)c(OC)c4)=[N+]3[B-](F)(F)n3c(C=Cc4cc(OC)c(OC)c(OC)c4)c(C=O)c(C=Cc4cc(OC)c(OC)c(OC)c4)c32)cc1,ClCCl,688.0,722.0,0.4,4.861534,,1122.4133060920003,10.1039/c4cs00030g,train,True
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[N+]3C2=C(c2ccc(-c4ccc5ccccc5n4)s2)c2c(C=Cc4ccc(OC)cc4)cc(C=Cc4ccc(OC)cc4)n2[B-]3(F)F)cc1,C1COCCO1,708.0,732.0,0.36,5.230449,,929.327014792,10.1039/c4cs00030g,train,True
CCCCOc1ccc(C=CC2=[N+]3C(=C(c4ccc(I)cc4)c4c(C=Cc5ccc(N(C)C)cc5)cc(C=Cc5ccc(OC)cc5)n4[B-]3(F)F)C(C=Cc3ccc(OCCOCCOC)cc3)=C2)cc1,C1COCCO1,700.0,714.0,0.13,5.152288,,1065.356056828,10.1039/c4cs00030g,train,True
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C=Cc4ccc(OC)cc4)=C(C#Cc4ccc(C(C)(C)C)cc4)C(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)c(C#Cc4ccc(C(C)(C)C)cc4)c(C=Cc4ccc(OC)cc4)c32)c1,ClC(Cl)Cl,732.0,756.0,0.23,5.2403,,1420.819025984,10.1039/c4cs00030g,train,True
