set,model,seed,target,n,MAE,RMSE,R2,rho,publication
per_pub,Transformer,0,ΦF (quantum yield),83,0.371,0.4394,-2.5687,-0.5453,10.1021/ol503379c
per_pub,Transformer,0,log ε,81,0.1011,0.1212,-0.9732,0.5221,10.1021/ol503379c
per_pub,Transformer,0,Abs. λmax (nm),96,77.4191,84.1583,-63.3905,-0.1167,10.1039/c7cp08472b
per_pub,Transformer,0,Em. λmax (nm),96,90.4256,98.2083,-74.454,-0.1073,10.1039/c7cp08472b
per_pub,Transformer,0,ΦF (quantum yield),90,0.3923,0.4305,-0.4054,0.0065,10.1039/c7cp08472b
per_pub,Transformer,0,Abs. λmax (nm),35,36.3953,40.2859,-6.3261,0.4094,10.1021/acs.joc.8b01429
per_pub,Transformer,0,Em. λmax (nm),35,83.943,90.491,-11.0842,0.1315,10.1021/acs.joc.8b01429
per_pub,Transformer,0,ΦF (quantum yield),33,0.2808,0.3116,-0.0543,0.2047,10.1021/acs.joc.8b01429
per_pub,Transformer,0,log ε,35,0.1618,0.2083,-0.4835,-0.3007,10.1021/acs.joc.8b01429
per_pub,Transformer,0,Abs. λmax (nm),90,14.0443,17.6744,0.3598,0.5736,10.1016/j.tet.2011.11.070
per_pub,Transformer,0,Em. λmax (nm),90,24.5892,27.6784,-0.5604,0.4844,10.1016/j.tet.2011.11.070
per_pub,Transformer,0,ΦF (quantum yield),90,0.436,0.5006,-3.4625,0.6525,10.1016/j.tet.2011.11.070
per_pub,Transformer,0,log ε,90,0.3119,0.3779,-1.5375,-0.1351,10.1016/j.tet.2011.11.070
per_pub,Transformer,0,Abs. λmax (nm),14,34.5137,42.8497,-0.4145,0.6909,10.1016/j.jphotobiol.2017.12.006
per_pub,Transformer,0,Em. λmax (nm),14,30.6049,32.4435,-3.9577,0.9297,10.1016/j.jphotobiol.2017.12.006
per_pub,Transformer,0,ΦF (quantum yield),14,0.3226,0.3892,-2.6102,-0.8204,10.1016/j.jphotobiol.2017.12.006
per_pub,Transformer,0,log ε,14,0.1175,0.1384,-2.6137,0.3872,10.1016/j.jphotobiol.2017.12.006
per_pub,Transformer,0,Abs. λmax (nm),12,42.133,55.1613,-12.0362,0.6305,10.1016/j.dyepig.2018.04.070
per_pub,Transformer,0,Em. λmax (nm),12,23.5311,32.6255,0.7473,0.8392,10.1016/j.dyepig.2018.04.070
per_pub,Transformer,0,ΦF (quantum yield),12,0.331,0.358,-0.4301,-0.1716,10.1016/j.dyepig.2018.04.070
per_pub,Transformer,0,log ε,12,0.2466,0.3366,-0.6806,-0.5665,10.1016/j.dyepig.2018.04.070
per_pub,Transformer,0,Abs. λmax (nm),43,77.8307,79.8038,-91.5311,0.3627,10.1021/acs.joc.8b02933
per_pub,Transformer,0,Em. λmax (nm),43,82.7356,85.8149,-67.2054,0.4059,10.1021/acs.joc.8b02933
per_pub,Transformer,0,ΦF (quantum yield),43,0.2216,0.308,-1.4949,0.4197,10.1021/acs.joc.8b02933
per_pub,Transformer,0,log ε,43,0.1197,0.1533,-1.0687,0.1093,10.1021/acs.joc.8b02933
per_pub,GATv2,0,Abs. λmax (nm),138,34.7371,47.4035,-0.5799,0.591,10.1021/acs.joc.6b00414
per_pub,GATv2,0,Em. λmax (nm),138,40.5512,53.1208,-0.4278,0.6125,10.1021/acs.joc.6b00414
per_pub,GATv2,0,ΦF (quantum yield),138,0.3796,0.4337,-0.2868,0.4214,10.1021/acs.joc.6b00414
per_pub,GATv2,0,log ε,138,0.1951,0.2462,-0.3138,0.06,10.1021/acs.joc.6b00414
per_pub,GATv2,0,Abs. λmax (nm),22,9.6263,11.5014,0.9102,0.7229,10.1021/ol202379w
per_pub,GATv2,0,Em. λmax (nm),22,22.3629,26.0171,0.5583,0.7487,10.1021/ol202379w
per_pub,GATv2,0,ΦF (quantum yield),20,0.455,0.4863,-5.5767,0.5697,10.1021/ol202379w
per_pub,GATv2,0,Abs. λmax (nm),100,29.6522,39.721,0.148,0.4229,10.1016/j.dyepig.2018.01.043
per_pub,GATv2,0,Em. λmax (nm),100,27.4163,38.1754,-0.2048,0.4491,10.1016/j.dyepig.2018.01.043
per_pub,GATv2,0,ΦF (quantum yield),70,0.337,0.4027,-1.1395,-0.2324,10.1016/j.dyepig.2018.01.043
per_pub,GATv2,0,Abs. λmax (nm),96,28.6186,33.8424,0.5666,0.8866,10.1021/acs.joc.9b01425
per_pub,GATv2,0,Em. λmax (nm),96,23.6671,29.6422,0.5925,0.8811,10.1021/acs.joc.9b01425
per_pub,GATv2,0,ΦF (quantum yield),96,0.2095,0.257,0.0546,0.2143,10.1021/acs.joc.9b01425
per_pub,GATv2,0,log ε,96,0.108,0.1471,0.365,0.7009,10.1021/acs.joc.9b01425
per_pub,GATv2,0,Abs. λmax (nm),23,44.6761,58.6943,-1.9664,-0.0069,10.1021/acs.joc.9b00020
per_pub,GATv2,0,Em. λmax (nm),23,24.6803,31.3925,-1.3986,0.6728,10.1021/acs.joc.9b00020
per_pub,GATv2,0,ΦF (quantum yield),23,0.1997,0.2265,-0.2614,0.5532,10.1021/acs.joc.9b00020
per_pub,GATv2,0,log ε,23,0.2601,0.2807,-9.2523,-0.117,10.1021/acs.joc.9b00020
per_pub,GATv2,0,Abs. λmax (nm),83,67.1386,81.7732,-13.1072,0.6529,10.1021/ol503379c
per_pub,GATv2,0,Em. λmax (nm),83,96.1332,103.1857,-27.3607,0.7006,10.1021/ol503379c
per_pub,GATv2,0,ΦF (quantum yield),83,0.3277,0.4035,-2.0091,-0.215,10.1021/ol503379c
per_pub,GATv2,0,log ε,81,0.2463,0.2961,-10.7787,0.3796,10.1021/ol503379c
per_pub,GATv2,0,Abs. λmax (nm),96,44.4244,49.5494,-21.3206,-0.1495,10.1039/c7cp08472b
per_pub,GATv2,0,Em. λmax (nm),96,59.1679,63.6875,-30.7318,0.083,10.1039/c7cp08472b
per_pub,GATv2,0,ΦF (quantum yield),90,0.4253,0.468,-0.6605,-0.0765,10.1039/c7cp08472b
per_pub,GATv2,0,Abs. λmax (nm),35,42.7351,44.9525,-8.1216,0.3788,10.1021/acs.joc.8b01429
per_pub,GATv2,0,Em. λmax (nm),35,88.2846,91.289,-11.2982,0.3491,10.1021/acs.joc.8b01429
per_pub,GATv2,0,ΦF (quantum yield),33,0.2798,0.3277,-0.1657,0.5456,10.1021/acs.joc.8b01429
per_pub,GATv2,0,log ε,35,0.1487,0.1942,-0.2896,0.5656,10.1021/acs.joc.8b01429
per_pub,GATv2,0,Abs. λmax (nm),90,26.5162,29.6418,-0.8006,0.7729,10.1016/j.tet.2011.11.070
per_pub,GATv2,0,Em. λmax (nm),90,27.8161,31.8127,-1.0614,0.822,10.1016/j.tet.2011.11.070
per_pub,GATv2,0,ΦF (quantum yield),90,0.3418,0.3818,-1.5963,0.5764,10.1016/j.tet.2011.11.070
per_pub,GATv2,0,log ε,90,0.2799,0.3491,-1.1664,-0.0966,10.1016/j.tet.2011.11.070
per_pub,GATv2,0,Abs. λmax (nm),14,78.9841,97.9258,-6.3877,0.6799,10.1016/j.jphotobiol.2017.12.006
per_pub,GATv2,0,Em. λmax (nm),14,76.4694,85.8219,-33.6915,0.8242,10.1016/j.jphotobiol.2017.12.006
per_pub,GATv2,0,ΦF (quantum yield),14,0.3393,0.4109,-3.024,-0.1686,10.1016/j.jphotobiol.2017.12.006
per_pub,GATv2,0,log ε,14,0.2324,0.2927,-15.1662,0.4664,10.1016/j.jphotobiol.2017.12.006
per_pub,GATv2,0,Abs. λmax (nm),12,23.9706,28.1546,-2.3961,0.7356,10.1016/j.dyepig.2018.04.070
per_pub,GATv2,0,Em. λmax (nm),12,35.6991,49.2942,0.4232,0.7063,10.1016/j.dyepig.2018.04.070
per_pub,GATv2,0,ΦF (quantum yield),12,0.2063,0.2753,0.1545,0.5394,10.1016/j.dyepig.2018.04.070
per_pub,GATv2,0,log ε,12,0.2441,0.3143,-0.4649,0.1578,10.1016/j.dyepig.2018.04.070
per_pub,GATv2,0,Abs. λmax (nm),43,43.6367,46.9647,-31.0467,0.0883,10.1021/acs.joc.8b02933
per_pub,GATv2,0,Em. λmax (nm),43,62.7617,65.9137,-39.2388,0.0989,10.1021/acs.joc.8b02933
per_pub,GATv2,0,ΦF (quantum yield),43,0.239,0.2769,-1.0158,0.6427,10.1021/acs.joc.8b02933
per_pub,GATv2,0,log ε,43,0.2168,0.2319,-3.7314,0.7076,10.1021/acs.joc.8b02933
per_pub,MLP,1,Abs. λmax (nm),138,35.2677,40.9252,-0.1776,0.5619,10.1021/acs.joc.6b00414
per_pub,MLP,1,Em. λmax (nm),138,34.3841,40.2391,0.1807,0.6404,10.1021/acs.joc.6b00414
per_pub,MLP,1,ΦF (quantum yield),138,0.2736,0.3108,0.339,0.6308,10.1021/acs.joc.6b00414
per_pub,MLP,1,log ε,138,0.1606,0.2263,-0.1103,0.2412,10.1021/acs.joc.6b00414
per_pub,MLP,1,Abs. λmax (nm),22,26.5301,35.725,0.1333,0.7041,10.1021/ol202379w
per_pub,MLP,1,Em. λmax (nm),22,37.2107,47.4193,-0.4671,0.7027,10.1021/ol202379w
per_pub,MLP,1,ΦF (quantum yield),20,0.43,0.4786,-5.3696,0.1387,10.1021/ol202379w
per_pub,MLP,1,Abs. λmax (nm),100,29.3519,35.94,0.3025,0.495,10.1016/j.dyepig.2018.01.043
per_pub,MLP,1,Em. λmax (nm),100,24.0629,32.7246,0.1147,0.4627,10.1016/j.dyepig.2018.01.043
per_pub,MLP,1,ΦF (quantum yield),70,0.2978,0.3499,-0.6156,-0.1999,10.1016/j.dyepig.2018.01.043
per_pub,MLP,1,Abs. λmax (nm),96,20.9642,25.7564,0.749,0.8476,10.1021/acs.joc.9b01425
per_pub,MLP,1,Em. λmax (nm),96,17.5976,21.7978,0.7796,0.8543,10.1021/acs.joc.9b01425
per_pub,MLP,1,ΦF (quantum yield),96,0.2106,0.2443,0.1462,0.346,10.1021/acs.joc.9b01425
per_pub,MLP,1,log ε,96,0.1756,0.2298,-0.5504,0.0349,10.1021/acs.joc.9b01425
per_pub,MLP,1,Abs. λmax (nm),23,35.5846,46.9655,-0.8993,0.1302,10.1021/acs.joc.9b00020
per_pub,MLP,1,Em. λmax (nm),23,12.3167,15.7599,0.3955,0.5333,10.1021/acs.joc.9b00020
per_pub,MLP,1,ΦF (quantum yield),23,0.1761,0.2119,-0.1034,0.5175,10.1021/acs.joc.9b00020
per_pub,MLP,1,log ε,23,0.2097,0.2344,-6.1491,0.0634,10.1021/acs.joc.9b00020
per_pub,MLP,1,Abs. λmax (nm),83,45.1884,53.0653,-4.9407,0.5525,10.1021/ol503379c
per_pub,MLP,1,Em. λmax (nm),83,62.5455,70.7533,-12.3343,0.6454,10.1021/ol503379c
per_pub,MLP,1,ΦF (quantum yield),83,0.3391,0.3784,-1.6457,-0.1475,10.1021/ol503379c
per_pub,MLP,1,log ε,81,0.2006,0.2189,-5.4415,0.2287,10.1021/ol503379c
per_pub,MLP,1,Abs. λmax (nm),96,19.9952,23.9691,-4.2232,0.5328,10.1039/c7cp08472b
per_pub,MLP,1,Em. λmax (nm),96,27.8472,31.5911,-6.8075,0.2714,10.1039/c7cp08472b
per_pub,MLP,1,ΦF (quantum yield),90,0.2711,0.3067,0.2868,0.7852,10.1039/c7cp08472b
per_pub,MLP,1,Abs. λmax (nm),35,42.7277,47.1144,-9.0201,0.3675,10.1021/acs.joc.8b01429
per_pub,MLP,1,Em. λmax (nm),35,87.6296,93.5054,-11.9027,-0.1119,10.1021/acs.joc.8b01429
per_pub,MLP,1,ΦF (quantum yield),33,0.1725,0.2057,0.5408,0.7663,10.1021/acs.joc.8b01429
per_pub,MLP,1,log ε,35,0.1504,0.1831,-0.1471,-0.0791,10.1021/acs.joc.8b01429
per_pub,MLP,1,Abs. λmax (nm),90,20.9763,24.92,-0.2726,0.7298,10.1016/j.tet.2011.11.070
per_pub,MLP,1,Em. λmax (nm),90,13.8244,16.8048,0.4248,0.8302,10.1016/j.tet.2011.11.070
per_pub,MLP,1,ΦF (quantum yield),90,0.4212,0.4715,-2.959,0.7292,10.1016/j.tet.2011.11.070
per_pub,MLP,1,log ε,90,0.2634,0.3173,-0.789,0.1371,10.1016/j.tet.2011.11.070
per_pub,MLP,1,Abs. λmax (nm),14,68.2533,76.4359,-3.501,0.4092,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,1,Em. λmax (nm),14,51.1098,62.628,-17.4741,0.6176,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,1,ΦF (quantum yield),14,0.3376,0.3767,-2.3806,-0.1056,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,1,log ε,14,0.2016,0.2185,-8.0063,0.2376,10.1016/j.jphotobiol.2017.12.006
per_pub,MLP,1,Abs. λmax (nm),12,26.7908,32.9617,-3.6548,0.7671,10.1016/j.dyepig.2018.04.070
per_pub,MLP,1,Em. λmax (nm),12,33.9978,45.7968,0.5022,0.6643,10.1016/j.dyepig.2018.04.070
per_pub,MLP,1,ΦF (quantum yield),12,0.2306,0.2877,0.0764,0.6585,10.1016/j.dyepig.2018.04.070
per_pub,MLP,1,log ε,12,0.364,0.4376,-1.8392,-0.3621,10.1016/j.dyepig.2018.04.070
per_pub,MLP,1,Abs. λmax (nm),43,31.3983,35.6048,-17.4186,0.5113,10.1021/acs.joc.8b02933
per_pub,MLP,1,Em. λmax (nm),43,44.9526,49.7325,-21.9073,0.1636,10.1021/acs.joc.8b02933
per_pub,MLP,1,ΦF (quantum yield),43,0.366,0.4104,-3.4274,0.3,10.1021/acs.joc.8b02933
per_pub,MLP,1,log ε,43,0.2524,0.2709,-5.4586,0.4536,10.1021/acs.joc.8b02933
per_pub,1D-CNN,1,Abs. λmax (nm),138,31.9864,39.691,-0.1076,0.1954,10.1021/acs.joc.6b00414
per_pub,1D-CNN,1,Em. λmax (nm),138,37.4005,45.5011,-0.0476,0.2996,10.1021/acs.joc.6b00414
per_pub,1D-CNN,1,ΦF (quantum yield),138,0.3897,0.4287,-0.2576,0.2163,10.1021/acs.joc.6b00414
per_pub,1D-CNN,1,log ε,138,0.1688,0.2077,0.0646,0.2871,10.1021/acs.joc.6b00414
per_pub,1D-CNN,1,Abs. λmax (nm),22,34.0558,42.1142,-0.2044,0.6825,10.1021/ol202379w
per_pub,1D-CNN,1,Em. λmax (nm),22,54.561,62.3862,-1.5395,0.6714,10.1021/ol202379w
per_pub,1D-CNN,1,ΦF (quantum yield),20,0.4729,0.5301,-6.8149,-0.0671,10.1021/ol202379w
